MESSAGE,LABEL
"Здравствуйте вчера я спрашивал работает ли бот у которого мега фрост они сказали что да все должно работать потом вчера я купил примерно в 21:30-22:00. По мск Мега Фроста за 6600(он сейчас у меня в инвентаре) вы говорили что он работает а он не работает ,можете починить его",4
"здравствуйте,я хочу вывести петов,жду уже 16 минут,бот так и не назначен.исправьте пожалуйста!",4
здравствуйте я не могу вывести петов,4
я уже не понимаю я создал вывод 21.02.2022 сейчас 6.03.2022 почему я жду уже 13 дней +в первый раз мне сказалы что деньгиприходят в течении 7 дней во второй раз мне сказали что в течении 10 дней,7
почему,1
ВЫ ЧТО САВСЕМ ДАВАЙТЕ ЕШЕ ГОД БУДЕТ ТЕХ РАБОТЫ,4
у меня уде 80 минут идет поиск бота,4
Не надо я случайно,9
"Когда боты уже будут работать,я устал ждать. Почему я ничего не могу вывести,я хотел сделать подарок своей матери на 8 марта,хоть немного заработать,а это длится уже 2 МАТЬ ЕГО МЕСЯЦА",4
Здравствуйте я не могу вывести петов уже 3 месяц сейчас пришлю скрин,4
Часто Задаваемые Вопросы,11
Здравствуйте,1
Сколько ждать бота?,4
Я сейчас подам в полицию если не починете ботов,4
Здравствуйте,1
.,9
"Здравствуйте,выплата не проходит уже более недели",7
"Здравствуйте, я конечно терпеливый человек, но почему вы не работаете уже как месяц я не могу купить или продать пета! :/",12
Тот же самый вопрос,9
Здравствуйте,1
Почему я досих пор не могу вывести пэтоввв????,5
"Извините пожалуйста, я случайно нажала",9
Щас боты работают?,9
Ау оператор,1
Доброво времени суток хотел бы узнать когда до конца заработают боты тк. Не могу вывести попугая 1 с половиной месяца,4
вы вообще не стараетесь  спустя 2 месяца тех.работ вы ничего не добавили так еще  и ПЕТЫ НЕ ВЫВОДЯТСЯ,4
Когда стар петс откроют?!,3
Почему бота невидает,4
Здравствуйте в адопт ми появились новые петы почему я не могу из продать или отдать боту,12
Добрый день,1
Не могу петов забрать,5
Жду,1
здравствуйте если загрузка ботов работает плохо можете отменить мой вывод?,9
Долго я ещё не смогу пополнить инвентарь?,4
"Здравствуйте,я на протяжении дня не могу связаться с ботом что мне делать?",5
"Здравствуйте, а если я сейчас выведу деньги они придут мгновенно или надо ждать неделю",9
22 для жду блять сколько можно уже,4
Почему мне не выдают бота уже 2 день??? Ужас,5
"Здравствуйте, вы меня поздравили с 8 марта, но я мальчик, что делать?",9
Когда можно будет вывести петов,5
"У меня не выводится деньги на карту, жду уже 4-5 дней и не приходят.",7
Не могу оплатить картой сбербанка,6
Здравствуйте,1
"здравствуйте, не могу вывести деньги с вашего сайта, заявка на вывод принимается, но потом ошибка",7
Здраствуйте А почему я не могу вывести пета боты же работают,5
Здравствуйте бот у которого Мега неон Фрост за 6250 будет работать в 9 часов вечера по мск,9
"Здравствуйте, когда будет доступен вывод с инвентаря?",5
Здравствуите,1
Почему не вывести пета!!!!!,5
Злравствуите можно мге задать вам вопрос?,1
Hello I have frost dragon on your site and for more than a month it has not let me get it,4
почему у меня бот уже назначается 5 минут ?,4
Здравствуйте,1
Здравствуйте я смог вывести 1 пета а потом боты а,4
"Здравствуйте! Пожалуйста, поскорее почините ботов🙏🥺",4
Ну что ? уже?,1
Здравствуйте,1
"Здраствуйте, почему сайт не работает уже месяц?!",3
Жду,1
мой вывод 57d82192 не вывелся за время которое должно,7
Почему мне не дают бота?,5
"Добрый день, можно у вас спросить, сейчас можно выводить средства на карту? работают ли выплаты?",9
Здравствуйте,1
Что с выводом за 25.06 ?,9
ПОЧЕМУ БОТЫ НЕ РАБОТАЮТ!!!???,4
меня уже не волнует нечего отдайте петов ноконец,5
"Здравствуйте, выплата на 550₽ не приходит уже неделю,а написанно что оплачена",7
Ну что? когда будет выводить деньги на карту?,7
"mздравствуйте, почему поиск бота такой долгий? я уже жду 40 минут!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!111",4
я не могу вывести петомца,5
То что у вас выводы по 4 дня идут это норма?,4
"Здравствуйте, второй день не могу найти бота, что делать?",4
Здравствуйте,1
"здравствуйте, я решил вывести 349 рублей, через какое время они прийдут мне на карту?",9
как сломать ботов на стар петс,9
Часто задаваемые вопросы,11
Здравствуйте.Мне не выдают бота уже долго.,5
"здравствуйте,я задонатил 2100 уже 2день не получается их взять  когда будут зделаны боты?",4
здравствуйте,1
Дайте бота,5
Почему бот не одает придмет,4
Боты не отдают петов,4
А когда вы удалите моего бота,9
Почему не работает вывести петов?,5
"когда я попытался добавить средства на свой счет, это не сработало",6
Почему не работают боты?,4
"Извините что пишу поздно, но всё же. У меня не получается ввести или вывести петов уже вроде около месяца, не знаю что делать, один раз дали сервер но бота не нём не было, и вот я решила написать вам",5
"здраствуйте, почему я не могу уже вывести петов уже 2 месяц ??",5
"Здравствуйте, а как долго боты будут отключены?",4
"Здравствуйте, жду вывод уже 10 дней. Сколько ещё ожидать?",7
Что опять с ботами!,4
Где боты?,4
Добрий день тех роботи зв'язані з війною,4
"здравствуйте, как скоро не будет такое высвечиваться? «не получилось создать встречу с ботом» или «бот с вашими вещами на тех работах»",4
Здраствуйте А боты работают я как уже неделю не могу вывести пета что мне делать,4
Когда закончится технические работа с могу пополнить счет,4
"Здравствуйте, почему не выводить деньги на карту? \",7
почему петы которые не ценится дорого стоят?,9
Здравствуйте я не могу вывести Robo Dog   уже где-то 2 недели,5
Когда почините ботов?,4
У меня пропали деньги с счëта,9
Здравствуйте!Который раз пишу в вашу поддержку.Когда уже починят ботов?Я не могу вывести своего Пета уже 4 день.Раньше все работало нормально а сейчас нет.Сколько ещё ждать?,4
Почему опять бот не ищется,4
Здравствуйте я не могу зайти на свой аккаунт в страпетс,9
,1
"Здравствуйте, задержки выводов до какого времени?",5
"здравствуйте!! вот, у меня такая проблема. я уже 5 раз пытаюсь вывести питомцев, но каждый раз приходится ждать по 1-2 часа. что делать? как быть?",5
здраствуйте,1
А когда у вас снова будут работать боты?,4
Что с этим делать,1
Здраствуйте когда будет работать стар петс,4
"Здраствуйте, у меня ищет бота уже 3 часа",5
"Извините, но тут проблема, когда я даю боту обмен он не отдает моего питомца",4
Деньги не приходят уже 9 дней,7
Здравствуйте,1
Когда оператор выйдет на связь?,1
Здравствуйте вы уже починили ботов или нет?,4
"здаров уебаны, что с ботами?",4
ЗДРАВСТВУЙТЕ.КОГДА ЗАРАБОТАЮТ БОТЫ?ЭТО ИЗДЕВАТЕЛЬСТВО КАКОЕ-ТО!!!!!,4
Вернуться к боту,11
"Добрый вечер, вывожу петов, уже 3 часа+ идёт поиск, когда это закончится?",4
Когда почините ботов,4
Здрастуйте,1
Нуу,1
ВЫ АХРЕНЕЛИ ДАУНЫ ВЫ ТОЛЬКО ДЕНЬГИ ХОТИТЕ !!!! ВАМ ПЛАТИТЬ НАДО 100К ЧТОБЫ КУПИТЬ ПЕТА КОТОРЫЙ СТОИТ В 100 РАЗ МЕНЬШЕ!!!!!!! И ЕЩЕ КАКИЕТО КОТЫ СТОЯТ 200К,9
"Здравствуйте почему мне не находят бота, что-бы продать пета?",4
"У меня деньги не выводятся 3 недели,сколько можно,я уже писал вам вы сказали что решите проблему ещё неделю назад,но так и не ответили",7
Бот не отдает питомцев: Parrot(FR) и Griffin(NFR). 2 бота: BMZhn6 и FKZfw9. Настолько часто пыталась к ним переходить и получить свои предметы что запомнила их ники. Все скрины в наличии. Вывести не могу долгое время,4
Прив,1
"Что делать? Я отдала петов боту, а инвентарь не пополнился",9
Уже более месяца не чинят ботов,4
"Здравствуйте, когда сайт заработает?",3
Так!!!!!!!!!!!!!!!,1
"Здравствуйте, я когда нажимаю инвентарь у меня пишет что ищем бота чтобы вывести петов в игру, и бесконечно пишет я ждал час и нечего, бесконечно пишет назначаем бота для вывода",4
"Здравствуйте, подскажите пожалуйста сколько нужно ждать выплату денег?",9
gh,1
петы не выводятся(,5
Бот не подключается,4
Почему нет ботов на сервере?,5
"здравствуйте,почему я не могу вывести петов 5 неделю?",4
Извените я жду 93 минуту но бота ещо не нашли,4
Я купила F R Frost dragon и мне не выдают бота прошу помочь,4
Здравствуйте,1
Здравствуйте я сделал платёжый вызов более 2 неделей назад деньги на номер не пришли что делать и придут вообще деньги,7
"Здравствуйте ! Почему меня уже 2 часа загрузка на поиски бота идёт ? Я уже не могу , 2 часа жду. Что делать ?",4
Здравствуйте,1
здраствуйте,1
Баг вывода,11
"Здравствуйте, этот бот не работает",4
Здравствуйте сегодня у меня такая проблема что я хочу продать петов а бота каждый раз на сервере нет,5
"почему у вас тех. работы идут уже около месяца? то нельзя купить, то нельзя вывести, то ботов нет на сервере, то боты есть на сервере но нету у туннеля, то не отдают петомцев",5
"здравствуйте, почему поиск бота такой долгий? я уже жду 7 минут",4
Когда Боты будут работать?,4
"Здравствуйте,почему я не могу вывести фрост фури фр и кобру р?",5
Здравствуйте я купила у вас райд неон рыся купила и он не выводиться можете отдать купленые мной петов?,5
Ои,1
Я не могу вивести пета,5
Здрастуйте,1
Покупка петов/яиц,11
"Я не могу вывести петов, что мне делать?",5
не получаеться вывести пета,5
"Добрый вечер. что случилось с ботами? Сегодня днем, они спокойно находились, захожу на вип сервер, но бота на нем нет. Пробовала несколько раз .результат один и тот же. Потом были тех.работы. сейчас боты ищутся, но итога нет",4
а примерно сколько еще ждать?,1
"У меня ошибка, хочу вывести пета, приблизительное время 0 секунд, прошло уже 30.",4
У меня завис поиск ботов не могу не вывести не чего,4
Здравствуйте! Я уже третий день не могу вывести петов. Можете уже наконец то починить своих ботов?,5
Вы включайете бота с моим попугаем?,4
Когда вы уже этих ботов грёбанных почините?,9
дня ищется   бот и все ещё ищется и не могу получить доступ к инвентарю и не могу покупать петов,4
"здравствуйте,таймер идёт уже 20минут",4
Сколько будет ище длится тех работы?,4
Здравствуйте мне на дают что я заказала уже 1 час ищет бота,4
"Здравствуйте, простите меня конечно, но что за херня? Я жду свои 377 рублей уже 2 недели!!! Мне деньги срочно нужны",7
Здравствуйте,1
"Добрый день,",1
"Добрый день, бот не может найтись около 10 минут, что делать?",4
"Здравствуйте, когдв вы почините в ех ботов?",4
Почему бот не отдает пета,5
Пока,9
Здравствуйте,1
Здравствуйте почему боты не работают?,4
"Здравствуйте! У меня проблема, назначается мне бот на пополнение. Захожу на сервер, а там никого нет.",5
Мне не дают бота 😭,5
Почему я жду пять минут час и 40 минут и т.д ?,4
Вы наладили ботов?,9
"почему боты включаются быстро, а питомцев они не дают? Ник я пиши правильно! Вывести я хочу ФР фрост дракона и НФР грифона!",5
Здравствуйте,1
Здраствуйте много людей ждут включения ботов некоторыя говорят что они не роботаю 3 месяца мне нужно срочно продать петов когда починят ботов? Спасибо,4
А боты все работают?,9
"Здравствуйте, столкнулась с такой проблемой, не могу вывести питомцев которых я купила",5
Я я уже долго жду Бота 26 минут,4
"Верните деньги за петов, которые я купила на вашем сайте и не могу вывести из-за ваших тех работ уже несколько недель",4
"Здравствуйте,жду более 30 минут бот не выдает 2 петов",4
"Здравствуйте, сделал запрос на вывод более чем 7 суток назад, деньги так и не пришли",7
Здравствуйте.,1
"Здравствуйте, очень долго жду бота. С чем это связано?",4
"Здравствуйте, когда уже нормально заработают боты, около месяца уже не могу вывести петов!!!",5
Здравствуйте!,1
Помогите,1
"Здравствуйте, как долго будет идти таймер? Нету кнопки отменить поиск",4
"Здравствуйте, очень давно я покупала у вас фрост фьюри и хотела вывести, но сайт говорил ""Не удалось создать встречу с ботом"". Сейчас я пыталась продать его, но мне пишет ""Иневентарь не смог найти ваши предметы"". Что мне делать?",4
"Добрый день, КОГДА Я СМОГУ ВЫВЕСТИ СВОЕГО ПОПУГАЯ, МНЕ ДАЮТ BMZhn6, КОТОРЫЙ НЕ ОТДАЁТ ПЕТОВ, МОЖНО ЕГО ПОМЕНЯТЬ? ЖДУ УЖЕ 2 НЕДЕЛИ С ЧЕМ-ТО",9
Я ждала своих петов 24 или 72 часа их нет бот не назначен что делать?,4
"Здравствуйте, а когда можно пополнить и вывести питомцев?",4
Здравствуйте когда у вас более менее восстановятся боты?,4
здравствуйте,1
"Помогити что мне зделать, мне ота ищат уже 1 час😭😭😭😖",4
"Здравствуйте, у меня есть проблема. Когда я пытаюсь пополнить инвентарь приходится очень ждать по часу, я к тому времени уже забываю и не успеваю. Можно как то ускорить процесс?",4
"Здравствуйте, а когда уже сайт починят? Просто я больше месяца пытаюсь вывести петов, я устала ждать",4
Когда будет бот?,4
здравствуйте,1
Где боты ?,4
Связаться с поддержкой,11
"Здравствуйте я второй месяц не могу вывести петов, никакой информации на сайте нету по поводу тех работ.",4
Почему не получается выдать мне бота?,4
Здраствуйте когда ботов почините?,4
Здравствуйте. Прошу прощения за столь долгий ответ,1
Почему когда я пытаюсь зайти через Дискорд меня выкидывает на главное меню?,9
"Здравствуйте, когда уже боты начнут нормально работать!?!?!?!? Мне что-ли вечность ждать?",4
Здравствуйте что делать если пэты выводятся по 60 мин+ и уже месяц не получаеися вывести только яйца получилось,5
"Здравствуйте,я как понимаю вы мне не выведите фр фроста вы только выводите петов за 2-5 рублей???? я пытаюсь фроста вывести мне выдаются боты CKY AKZ и ещё 2 ботов которые сломаны",9
У меня не включаются боты жду 12 минут,4
"Почему у меня пишет""неудалось создать встречу с ботом„",4
Ayyyyyy,1
"Здравствуйте, почему не выводить деньги на карту?",7
Бот не отдаёт петомца.,5
У меня долго грузит ботов уже как 5 мимут,4
здраствуйте я не могу выставить петов новых на продажу,9
"Здравствуйте, что делать если мне дали бота, я зашла на сервер но бот то отклоняет трейд то не вставляет в трейде пета?",4
Я не могу вывисти фр фроста уже 3  недели,5
Здравствуйте почему у выс на сайте не продаются предметы из адопт ми а только петы?,9
"здравствуйте, почему поиск бота такой долгий? я уже жду 7 минут",4
Я почему-то не могу вывести пэтов что это ?,5
Здравствуйте!,1
Когда добавят петов из обновления?,9
ВЫ НАДОЕЛИ Я ЖДУ СВОИХ ПЕТОВ УЖЕ 3 МЕСЯЦА БЕСИТ,4
"здравствуйте,вывод средств работает?",9
Vvvv,1
Здравствуйте,1
Здравствуйте деньги не приходят уже более 2 недель,7
"здравствуйте, у мня не получается пополнить инвентарь, что делать?",4
Почему мне не дают бота,4
Почему долго назначает бота,4
Почему так долго не выдаёт ботов???,4
Почему я должна так долго ждать?,4
"Здравствуйте, у меня такая проблема. Я создала себе аккаунт и у меня уже 1 час не прогружается инвентарь. Что с этим делать?",9
Как у вас дела?,1
Здравствуйте Я щас вывожу пета мне долго ждать когда бота включат?,5
А Стар петс уже роботает?,9
Вывод идёт 21 день,7
Почему я не могу вывести пета из инвентаря.,5
пр,1
"у меня таймер не отключается, даже кнопки нету. идёт уже 13 минут. пробовала перезаходить. не помогает. что делать?",4
Почему не работают боты?,4
"Здравствуйте, уже, если не ошибаюсь, ваш сайт 2 месяц не работает. Нельзя питомца ни вывести, ни внести для продажи. Месяц назад назад писала, на что мне ответили ""Скоро заработает"". Вот как-то не заработал. Могу я узнать, в чём проблема и когда сайт уже действительно заработает",3
Здравствуйте.деньги не приходят уже 7 суток что делать?,7
Почему мой бот до сих пор на тех работах,4
"Здравствуйте, можете сказать пожалуйста я нашёл 3 ботов разных,но один из них не даёт петов CKY AKZ GJY",9
Привет,1
Почему бот не отдает моего питомца уже 2 недели?,5
"Здравствуйте,  когда починят ботов?",4
я блять жду уже сколько своего пета лол,9
"Здравствуйте, почему я хочу вывести питомца ( из инвенторя ) . И приходится ждать аж 3 часа !!! Сначала боты включаются !!! Потом НИЧЕГО ! Простите но почините уже сайт !",4
Здравствуйте,1
"Добрый день! С 3 марта не получается вывести купленного питомца из инвентаря. То боты спят, то не ищутся. Нужна помощь",4
Вернуться назад,11
Здравствуйте,1
Добрый день,1
не могу две недели вывести петов,4
Почему уже почти месяц не выводят 60 рублей?,7
Мне снова не дают бота,5
"здравствуйте,что с ботами? они не работают больше двух месяцев,людям вы отвечаете один и тем же сообщением",4
"Здравствуйте, не приходят деньги  после  78 часов",7
"Добрый день, почему так долго дают ботов?",4
"здравствуйте ,у меня проблема .",1
Сколько можно искать бота вы или сейчас мне возвращаете деньги или давайте уже мне бота,4
Fkff,1
Здраствуйте,1
Почему не запускаеться?,9
Мне не назначают бота,4
Здравствуйте,1
Вернуться назад,11
Добрового времени суток,1
"Здравствуйте,у меня по 4 часа поиск бота ,помогите,молю вас!!!",4
Здравствуйте! Вы починили сайт? Я уже 1 неделю жду Фроста:(,3
Здравствуйте деньги не приходят уже более 2 недель платёжный вызов был стелан 18.2.2022,9
Бот не отдает пета,4
"Здравствуйте,  когда починят ботов????",4
почему нет так долго бота?,4
у вас хакнули сайт и ботов что-ли?,3
Вы наладили ботов?,4
как скрин отправить,9
Здраствуйте,1
Почему у меня так долго ищут бота?,4
Ау,1
Здраствуйте бот не выдаёт яйцо,4
Связаться с поддержкой,11
"Добрый день, я уже более 2х месяцев не могу вывести пэта, каждый раз, говориться что произошла ошибка, хотя параллельно у моего брата все работает идеально. Помогите пожалуйста вывести Попугая Ф.",5
Где мой бот?,5
Бот не отдаёт предметы и долго ищет бота,4
оформите мне бота,5
Понятно.,1
"отключите поиск ботов, толку нету...  ботов на сервере нету, пополнить невохможно...",9
Часто Задаваемые Вопросы,11
"Здравствуйте я уже в общем-то, жду больше 3-5 дней",9
когда заработают боты на вывод,4
"Здравствуйте! Сайт не работает уже миллион лет( все очень хотят вывести петов, скажите, пожалуйста, когда почините?",4
"Привет, когда можно будет вывести петов? Я их уже больше месяца жду",5
"Здравствуйте. Скажите пожалуйста, если я сейчас оплачу своих петов, я смогу вывести их сегодня ? 16:35",9
Здравствуйте,1
"Добрый день. Когда уже боты начнут выдавать петов? Это хотя бы, при том что не ищет ботов",4
здравствуйте,1
почему так долго грузят боты,4
У меня очень долго ищет бота 40 минут. В чём причина?,4
"Здравствуйте бот GLZeq6SP не отдаёт питомца, что делать?",9
что так долго я не могу вывести петов себе на акк. долго ищет бота,4
"здравствуйте, бот не отдаёт петов",4
Связаться с поддержкой,11
что делать когда я нажимаю на  кнопку вывести петов мне показывают ошибку и не отдают петов  уже как 3 месяца,4
почему я не могу начать поиск бота?,4
Вы наладили ботов?,4
Здраствуйте я бота уже 9 минут жду,4
"Здравствуйте, почему я не могу создать встречю с ботом",4
"Здравствуйте, когда вы почините ботов? мне 2 недели назад оператор сказал что скоро починят , прошло 2 недели а сайт даже бота найти не может",3
Здравствуйте!,1
У меня не находится бот уже 1 час,4
не могу больше недели вывести петов.,5
здравствуйте я купила фроста и жду 3 неделю бота нет не сервере,5
Вам что так сложно сайт чинит?,3
Можите снять поиск бота?,4
Можно отменить бота?,4
Здраствуйте Я поставил выплату 72 рубля но прошёл день так и не пришли деньги а за 10 рублей я поставил выплату тоже они пришли сразу можете те отправить?,7
Здравствуйте а можно обмен патами ?,9
Вывод починили?,7
"Я хочу продать пета, а бот ищется уже как 96 минут",4
когда сайт починят???мне срочно нужно вывести петов,4
Загрузка идёт уже почти 9 часов и я не могу никак отменить встречу с ботом. Что делать?,4
